"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1526","has title","chromium","2026-07-16","passed","2026-07-16","","example.spec.js","",""
"","835","get started link","chromium","2026-07-16","passed","2026-07-16","","example.spec.js","",""
"","5335","cadastro QA","webkit","2026-07-16","passed","2026-07-16","","LoginP2.spec.js","",""
"","2502","get started link","firefox","2026-07-16","passed","2026-07-16","","example.spec.js","",""
"","2399","get started link","webkit","2026-07-16","passed","2026-07-16","","example.spec.js","",""
"","3496","Login email vazio e mansagem","firefox","2026-07-16","passed","2026-07-16","","LoginP2.spec.js","",""
"","2122","has title","firefox","2026-07-16","passed","2026-07-16","","example.spec.js","",""
"","4773","Login com sucesso 2","firefox","2026-07-16","passed","2026-07-16","","LoginP2.spec.js","",""
"","4482","cadastro QA","firefox","2026-07-16","passed","2026-07-16","","LoginP2.spec.js","",""
"","3774","Login email vazio e mansagem","webkit","2026-07-16","passed","2026-07-16","","LoginP2.spec.js","",""
"","2817","Login com sucesso 2","chromium","2026-07-16","passed","2026-07-16","","LoginP2.spec.js","",""
"","1702","Login email vazio e mansagem","chromium","2026-07-16","passed","2026-07-16","","LoginP2.spec.js","",""
"","2653","cadastro QA","chromium","2026-07-16","passed","2026-07-16","","LoginP2.spec.js","",""
"","4971","Login com sucesso 2","webkit","2026-07-16","passed","2026-07-16","","LoginP2.spec.js","",""
"","1717","has title","webkit","2026-07-16","passed","2026-07-16","","example.spec.js","",""
